"","Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"1","LP001002","Male","0","0","1","No",5849,0,NA,"360","1","0","1"
"2","LP001003","Male","1","1","1","No",4583,1508,128,"360","1","1","0"
"3","LP001005","Male","1","0","1","Yes",3000,0,66,"360","1","0","1"
"4","LP001006","Male","1","0","0","No",2583,2358,120,"360","1","0","1"
"5","LP001008","Male","0","0","1","No",6000,0,141,"360","1","0","1"
"6","LP001011","Male","1","2","1","Yes",5417,4196,267,"360","1","0","1"
"7","LP001013","Male","1","0","0","No",2333,1516,95,"360","1","0","1"
"8","LP001014","Male","1","3+","1","No",3036,2504,158,"360","0","2","0"
"9","LP001018","Male","1","2","1","No",4006,1526,168,"360","1","0","1"
"10","LP001020","Male","1","1","1","No",12841,10968,349,"360","1","2","0"
"11","LP001024","Male","1","2","1","No",3200,700,70,"360","1","0","1"
"12","LP001027","Male","1","2","1","",2500,1840,109,"360","1","0","1"
"13","LP001028","Male","1","2","1","No",3073,8106,200,"360","1","0","1"
"14","LP001029","Male","0","0","1","No",1853,2840,114,"360","1","1","0"
"15","LP001030","Male","1","2","1","No",1299,1086,17,"120","1","0","1"
"16","LP001032","Male","0","0","1","No",4950,0,125,"360","1","0","1"
"17","LP001034","Male","0","1","0","No",3596,0,100,"240",NA,"0","1"
"18","LP001036","Female","0","0","1","No",3510,0,76,"360","0","0","0"
"19","LP001038","Male","1","0","0","No",4887,0,133,"360","1","1","0"
"20","LP001041","Male","1","0","1","",2600,3500,115,NA,"1","0","1"
"21","LP001043","Male","1","0","0","No",7660,0,104,"360","0","0","0"
"22","LP001046","Male","1","1","1","No",5955,5625,315,"360","1","0","1"
"23","LP001047","Male","1","0","0","No",2600,1911,116,"360","0","2","0"
"24","LP001050","","1","2","0","No",3365,1917,112,"360","0","1","0"
"25","LP001052","Male","1","1","1","",3717,2925,151,"360",NA,"2","0"
"26","LP001066","Male","1","0","1","Yes",9560,0,191,"360","1","2","1"
"27","LP001068","Male","1","0","1","No",2799,2253,122,"360","1","2","1"
"28","LP001073","Male","1","2","0","No",4226,1040,110,"360","1","0","1"
"29","LP001086","Male","0","0","0","No",1442,0,35,"360","1","0","0"
"30","LP001087","Female","0","2","1","",3750,2083,120,"360","1","2","1"
"31","LP001091","Male","1","1","1","",4166,3369,201,"360",NA,"0","0"
"32","LP001095","Male","0","0","1","No",3167,0,74,"360","1","0","0"
"33","LP001097","Male","0","1","1","Yes",4692,0,106,"360","1","1","0"
"34","LP001098","Male","1","0","1","No",3500,1667,114,"360","1","2","1"
"35","LP001100","Male","0","3+","1","No",12500,3000,320,"360","1","1","0"
"36","LP001106","Male","1","0","1","No",2275,2067,NA,"360","1","0","1"
"37","LP001109","Male","1","0","1","No",1828,1330,100,NA,"0","0","0"
"38","LP001112","Female","1","0","1","No",3667,1459,144,"360","1","2","1"
"39","LP001114","Male","0","0","1","No",4166,7210,184,"360","1","0","1"
"40","LP001116","Male","0","0","0","No",3748,1668,110,"360","1","2","1"
"41","LP001119","Male","0","0","1","No",3600,0,80,"360","1","0","0"
"42","LP001120","Male","0","0","1","No",1800,1213,47,"360","1","0","1"
"43","LP001123","Male","1","0","1","No",2400,0,75,"360",NA,"0","1"
"44","LP001131","Male","1","0","1","No",3941,2336,134,"360","1","2","1"
"45","LP001136","Male","1","0","0","Yes",4695,0,96,NA,"1","0","1"
"46","LP001137","Female","0","0","1","No",3410,0,88,NA,"1","0","1"
"47","LP001138","Male","1","1","1","No",5649,0,44,"360","1","0","1"
"48","LP001144","Male","1","0","1","No",5821,0,144,"360","1","0","1"
"49","LP001146","Female","1","0","1","No",2645,3440,120,"360","0","0","0"
"50","LP001151","Female","0","0","1","No",4000,2275,144,"360","1","2","1"
"51","LP001155","Female","1","0","0","No",1928,1644,100,"360","1","2","1"
"52","LP001157","Female","0","0","1","No",3086,0,120,"360","1","2","1"
"53","LP001164","Female","0","0","1","No",4230,0,112,"360","1","2","0"
"54","LP001179","Male","1","2","1","No",4616,0,134,"360","1","0","0"
"55","LP001186","Female","1","1","1","Yes",11500,0,286,"360","0","0","0"
"56","LP001194","Male","1","2","1","No",2708,1167,97,"360","1","2","1"
"57","LP001195","Male","1","0","1","No",2132,1591,96,"360","1","2","1"
"58","LP001197","Male","1","0","1","No",3366,2200,135,"360","1","1","0"
"59","LP001198","Male","1","1","1","No",8080,2250,180,"360","1","0","1"
"60","LP001199","Male","1","2","0","No",3357,2859,144,"360","1","0","1"
"61","LP001205","Male","1","0","1","No",2500,3796,120,"360","1","0","1"
"62","LP001206","Male","1","3+","1","No",3029,0,99,"360","1","0","1"
"63","LP001207","Male","1","0","0","Yes",2609,3449,165,"180","0","1","0"
"64","LP001213","Male","1","1","1","No",4945,0,NA,"360","0","1","0"
"65","LP001222","Female","0","0","1","No",4166,0,116,"360","0","2","0"
"66","LP001225","Male","1","0","1","No",5726,4595,258,"360","1","2","0"
"67","LP001228","Male","0","0","0","No",3200,2254,126,"180","0","0","0"
"68","LP001233","Male","1","1","1","No",10750,0,312,"360","1","0","1"
"69","LP001238","Male","1","3+","0","Yes",7100,0,125,"60","1","0","1"
"70","LP001241","Female","0","0","1","No",4300,0,136,"360","0","2","0"
"71","LP001243","Male","1","0","1","No",3208,3066,172,"360","1","0","1"
"72","LP001245","Male","1","2","0","Yes",1875,1875,97,"360","1","2","1"
"73","LP001248","Male","0","0","1","No",3500,0,81,"300","1","2","1"
"74","LP001250","Male","1","3+","0","No",4755,0,95,NA,"0","2","0"
"75","LP001253","Male","1","3+","1","Yes",5266,1774,187,"360","1","2","1"
"76","LP001255","Male","0","0","1","No",3750,0,113,"480","1","0","0"
"77","LP001256","Male","0","0","1","No",3750,4750,176,"360","1","0","0"
"78","LP001259","Male","1","1","1","Yes",1000,3022,110,"360","1","0","0"
"79","LP001263","Male","1","3+","1","No",3167,4000,180,"300","0","2","0"
"80","LP001264","Male","1","3+","0","Yes",3333,2166,130,"360",NA,"2","1"
"81","LP001265","Female","0","0","1","No",3846,0,111,"360","1","2","1"
"82","LP001266","Male","1","1","1","Yes",2395,0,NA,"360","1","2","1"
"83","LP001267","Female","1","2","1","No",1378,1881,167,"360","1","0","0"
"84","LP001273","Male","1","0","1","No",6000,2250,265,"360",NA,"2","0"
"85","LP001275","Male","1","1","1","No",3988,0,50,"240","1","0","1"
"86","LP001279","Male","0","0","1","No",2366,2531,136,"360","1","2","1"
"87","LP001280","Male","1","2","0","No",3333,2000,99,"360",NA,"2","1"
"88","LP001282","Male","1","0","1","No",2500,2118,104,"360","1","2","1"
"89","LP001289","Male","0","0","1","No",8566,0,210,"360","1","0","1"
"90","LP001310","Male","1","0","1","No",5695,4167,175,"360","1","2","1"
"91","LP001316","Male","1","0","1","No",2958,2900,131,"360","1","2","1"
"92","LP001318","Male","1","2","1","No",6250,5654,188,"180","1","2","1"
"93","LP001319","Male","1","2","0","No",3273,1820,81,"360","1","0","1"
"94","LP001322","Male","0","0","1","No",4133,0,122,"360","1","2","1"
"95","LP001325","Male","0","0","0","No",3620,0,25,"120","1","2","1"
"96","LP001326","Male","0","0","1","",6782,0,NA,"360",NA,"0","0"
"97","LP001327","Female","1","0","1","No",2484,2302,137,"360","1","2","1"
"98","LP001333","Male","1","0","1","No",1977,997,50,"360","1","2","1"
"99","LP001334","Male","1","0","0","No",4188,0,115,"180","1","2","1"
"100","LP001343","Male","1","0","1","No",1759,3541,131,"360","1","2","1"
"101","LP001345","Male","1","2","0","No",4288,3263,133,"180","1","0","1"
"102","LP001349","Male","0","0","1","No",4843,3806,151,"360","1","2","1"
"103","LP001350","Male","1","","1","No",13650,0,NA,"360","1","0","1"
"104","LP001356","Male","1","0","1","No",4652,3583,NA,"360","1","2","1"
"105","LP001357","Male",NA,"","1","No",3816,754,160,"360","1","0","1"
"106","LP001367","Male","1","1","1","No",3052,1030,100,"360","1","0","1"
"107","LP001369","Male","1","2","1","No",11417,1126,225,"360","1","0","1"
"108","LP001370","Male","0","0","0","",7333,0,120,"360","1","1","0"
"109","LP001379","Male","1","2","1","No",3800,3600,216,"360","0","0","0"
"110","LP001384","Male","1","3+","0","No",2071,754,94,"480","1","2","1"
"111","LP001385","Male","0","0","1","No",5316,0,136,"360","1","0","1"
"112","LP001387","Female","1","0","1","",2929,2333,139,"360","1","2","1"
"113","LP001391","Male","1","0","0","No",3572,4114,152,NA,"0","1","0"
"114","LP001392","Female","0","1","1","Yes",7451,0,NA,"360","1","2","1"
"115","LP001398","Male","0","0","1","",5050,0,118,"360","1","2","1"
"116","LP001401","Male","1","1","1","No",14583,0,185,"180","1","1","1"
"117","LP001404","Female","1","0","1","No",3167,2283,154,"360","1","2","1"
"118","LP001405","Male","1","1","1","No",2214,1398,85,"360",NA,"0","1"
"119","LP001421","Male","1","0","1","No",5568,2142,175,"360","1","1","0"
"120","LP001422","Female","0","0","1","No",10408,0,259,"360","1","0","1"
"121","LP001426","Male","1","","1","No",5667,2667,180,"360","1","1","1"
"122","LP001430","Female","0","0","1","No",4166,0,44,"360","1","2","1"
"123","LP001431","Female","0","0","1","No",2137,8980,137,"360","0","2","1"
"124","LP001432","Male","1","2","1","No",2957,0,81,"360","1","2","1"
"125","LP001439","Male","1","0","0","No",4300,2014,194,"360","1","1","1"
"126","LP001443","Female","0","0","1","No",3692,0,93,"360",NA,"1","1"
"127","LP001448","","1","3+","1","No",23803,0,370,"360","1","1","1"
"128","LP001449","Male","0","0","1","No",3865,1640,NA,"360","1","1","1"
"129","LP001451","Male","1","1","1","Yes",10513,3850,160,"180","0","0","0"
"130","LP001465","Male","1","0","1","No",6080,2569,182,"360",NA,"1","0"
"131","LP001469","Male","0","0","1","Yes",20166,0,650,"480",NA,"0","1"
"132","LP001473","Male","0","0","1","No",2014,1929,74,"360","1","0","1"
"133","LP001478","Male","0","0","1","No",2718,0,70,"360","1","2","1"
"134","LP001482","Male","1","0","1","Yes",3459,0,25,"120","1","2","1"
"135","LP001487","Male","0","0","1","No",4895,0,102,"360","1","2","1"
"136","LP001488","Male","1","3+","1","No",4000,7750,290,"360","1","2","0"
"137","LP001489","Female","1","0","1","No",4583,0,84,"360","1","1","0"
"138","LP001491","Male","1","2","1","Yes",3316,3500,88,"360","1","0","1"
"139","LP001492","Male","0","0","1","No",14999,0,242,"360","0","2","0"
"140","LP001493","Male","1","2","0","No",4200,1430,129,"360","1","1","0"
"141","LP001497","Male","1","2","1","No",5042,2083,185,"360","1","1","0"
"142","LP001498","Male","0","0","1","No",5417,0,168,"360","1","0","1"
"143","LP001504","Male","0","0","1","Yes",6950,0,175,"180","1","2","1"
"144","LP001507","Male","1","0","1","No",2698,2034,122,"360","1","2","1"
"145","LP001508","Male","1","2","1","No",11757,0,187,"180","1","0","1"
"146","LP001514","Female","1","0","1","No",2330,4486,100,"360","1","2","1"
"147","LP001516","Female","1","2","1","No",14866,0,70,"360","1","0","1"
"148","LP001518","Male","1","1","1","No",1538,1425,30,"360","1","0","1"
"149","LP001519","Female","0","0","1","No",10000,1666,225,"360","1","1","0"
"150","LP001520","Male","1","0","1","No",4860,830,125,"360","1","2","1"
"151","LP001528","Male","0","0","1","No",6277,0,118,"360","0","1","0"
"152","LP001529","Male","1","0","1","Yes",2577,3750,152,"360","1","1","1"
"153","LP001531","Male","0","0","1","No",9166,0,244,"360","1","0","0"
"154","LP001532","Male","1","2","0","No",2281,0,113,"360","1","1","0"
"155","LP001535","Male","0","0","1","No",3254,0,50,"360","1","0","1"
"156","LP001536","Male","1","3+","1","No",39999,0,600,"180","0","2","1"
"157","LP001541","Male","1","1","1","No",6000,0,160,"360",NA,"1","1"
"158","LP001543","Male","1","1","1","No",9538,0,187,"360","1","0","1"
"159","LP001546","Male","0","0","1","",2980,2083,120,"360","1","1","1"
"160","LP001552","Male","1","0","1","No",4583,5625,255,"360","1","2","1"
"161","LP001560","Male","1","0","0","No",1863,1041,98,"360","1","2","1"
"162","LP001562","Male","1","0","1","No",7933,0,275,"360","1","0","0"
"163","LP001565","Male","1","1","1","No",3089,1280,121,"360","0","2","0"
"164","LP001570","Male","1","2","1","No",4167,1447,158,"360","1","1","1"
"165","LP001572","Male","1","0","1","No",9323,0,75,"180","1","0","1"
"166","LP001574","Male","1","0","1","No",3707,3166,182,NA,"1","1","1"
"167","LP001577","Female","1","0","1","No",4583,0,112,"360","1","1","0"
"168","LP001578","Male","1","0","1","No",2439,3333,129,"360","1","1","1"
"169","LP001579","Male","0","0","1","No",2237,0,63,"480","0","2","0"
"170","LP001580","Male","1","2","1","No",8000,0,200,"360","1","2","1"
"171","LP001581","Male","1","0","0","",1820,1769,95,"360","1","1","1"
"172","LP001585","","1","3+","1","No",51763,0,700,"300","1","0","1"
"173","LP001586","Male","1","3+","0","No",3522,0,81,"180","1","1","0"
"174","LP001594","Male","1","0","1","No",5708,5625,187,"360","1","2","1"
"175","LP001603","Male","1","0","0","Yes",4344,736,87,"360","1","2","0"
"176","LP001606","Male","1","0","1","No",3497,1964,116,"360","1","1","1"
"177","LP001608","Male","1","2","1","No",2045,1619,101,"360","1","1","1"
"178","LP001610","Male","1","3+","1","No",5516,11300,495,"360","0","2","0"
"179","LP001616","Male","1","1","1","No",3750,0,116,"360","1","2","1"
"180","LP001630","Male","0","0","0","No",2333,1451,102,"480","0","0","0"
"181","LP001633","Male","1","1","1","No",6400,7250,180,"360","0","0","0"
"182","LP001634","Male","0","0","1","No",1916,5063,67,"360",NA,"1","0"
"183","LP001636","Male","1","0","1","No",4600,0,73,"180","1","2","1"
"184","LP001637","Male","1","1","1","No",33846,0,260,"360","1","2","0"
"185","LP001639","Female","1","0","1","No",3625,0,108,"360","1","2","1"
"186","LP001640","Male","1","0","1","Yes",39147,4750,120,"360","1","2","1"
"187","LP001641","Male","1","1","1","Yes",2178,0,66,"300","0","1","0"
"188","LP001643","Male","1","0","1","No",2383,2138,58,"360",NA,"1","1"
"189","LP001644","","1","0","1","Yes",674,5296,168,"360","1","1","1"
"190","LP001647","Male","1","0","1","No",9328,0,188,"180","1","1","1"
"191","LP001653","Male","0","0","0","No",4885,0,48,"360","1","1","1"
"192","LP001656","Male","0","0","1","No",12000,0,164,"360","1","2","0"
"193","LP001657","Male","1","0","0","No",6033,0,160,"360","1","0","0"
"194","LP001658","Male","0","0","1","No",3858,0,76,"360","1","2","1"
"195","LP001664","Male","0","0","1","No",4191,0,120,"360","1","1","1"
"196","LP001665","Male","1","1","1","No",3125,2583,170,"360","1","2","0"
"197","LP001666","Male","0","0","1","No",8333,3750,187,"360","1","1","1"
"198","LP001669","Female","0","0","0","No",1907,2365,120,NA,"1","0","1"
"199","LP001671","Female","1","0","1","No",3416,2816,113,"360",NA,"2","1"
"200","LP001673","Male","0","0","1","Yes",11000,0,83,"360","1","0","0"
"201","LP001674","Male","1","1","0","No",2600,2500,90,"360","1","2","1"
"202","LP001677","Male","0","2","1","No",4923,0,166,"360","0","2","1"
"203","LP001682","Male","1","3+","0","No",3992,0,NA,"180","1","0","0"
"204","LP001688","Male","1","1","0","No",3500,1083,135,"360","1","0","1"
"205","LP001691","Male","1","2","0","No",3917,0,124,"360","1","2","1"
"206","LP001692","Female","0","0","0","No",4408,0,120,"360","1","2","1"
"207","LP001693","Female","0","0","1","No",3244,0,80,"360","1","0","1"
"208","LP001698","Male","0","0","0","No",3975,2531,55,"360","1","1","1"
"209","LP001699","Male","0","0","1","No",2479,0,59,"360","1","0","1"
"210","LP001702","Male","0","0","1","No",3418,0,127,"360","1","2","0"
"211","LP001708","Female","0","0","1","No",10000,0,214,"360","1","2","0"
"212","LP001711","Male","1","3+","1","No",3430,1250,128,"360","0","2","0"
"213","LP001713","Male","1","1","1","Yes",7787,0,240,"360","1","0","1"
"214","LP001715","Male","1","3+","0","Yes",5703,0,130,"360","1","1","1"
"215","LP001716","Male","1","0","1","No",3173,3021,137,"360","1","0","1"
"216","LP001720","Male","1","3+","0","No",3850,983,100,"360","1","2","1"
"217","LP001722","Male","1","0","1","No",150,1800,135,"360","1","1","0"
"218","LP001726","Male","1","0","1","No",3727,1775,131,"360","1","2","1"
"219","LP001732","Male","1","2","1","",5000,0,72,"360","0","2","0"
"220","LP001734","Female","1","2","1","No",4283,2383,127,"360",NA,"2","1"
"221","LP001736","Male","1","0","1","No",2221,0,60,"360","0","0","0"
"222","LP001743","Male","1","2","1","No",4009,1717,116,"360","1","2","1"
"223","LP001744","Male","0","0","1","No",2971,2791,144,"360","1","2","1"
"224","LP001749","Male","1","0","1","No",7578,1010,175,NA,"1","2","1"
"225","LP001750","Male","1","0","1","No",6250,0,128,"360","1","2","1"
"226","LP001751","Male","1","0","1","No",3250,0,170,"360","1","1","0"
"227","LP001754","Male","1","","0","Yes",4735,0,138,"360","1","0","0"
"228","LP001758","Male","1","2","1","No",6250,1695,210,"360","1","2","1"
"229","LP001760","Male",NA,"","1","No",4758,0,158,"480","1","2","1"
"230","LP001761","Male","0","0","1","Yes",6400,0,200,"360","1","1","1"
"231","LP001765","Male","1","1","1","No",2491,2054,104,"360","1","2","1"
"232","LP001768","Male","1","0","1","",3716,0,42,"180","1","1","1"
"233","LP001770","Male","0","0","0","No",3189,2598,120,NA,"1","1","1"
"234","LP001776","Female","0","0","1","No",8333,0,280,"360","1","2","1"
"235","LP001778","Male","1","1","1","No",3155,1779,140,"360","1","2","1"
"236","LP001784","Male","1","1","1","No",5500,1260,170,"360","1","1","1"
"237","LP001786","Male","1","0","1","",5746,0,255,"360",NA,"0","0"
"238","LP001788","Female","0","0","1","Yes",3463,0,122,"360",NA,"0","1"
"239","LP001790","Female","0","1","1","No",3812,0,112,"360","1","1","1"
"240","LP001792","Male","1","1","1","No",3315,0,96,"360","1","2","1"
"241","LP001798","Male","1","2","1","No",5819,5000,120,"360","1","1","1"
"242","LP001800","Male","1","1","0","No",2510,1983,140,"180","1","0","0"
"243","LP001806","Male","0","0","1","No",2965,5701,155,"60","1","0","1"
"244","LP001807","Male","1","2","1","Yes",6250,1300,108,"360","1","1","1"
"245","LP001811","Male","1","0","0","No",3406,4417,123,"360","1","2","1"
"246","LP001813","Male","0","0","1","Yes",6050,4333,120,"180","1","0","0"
"247","LP001814","Male","1","2","1","No",9703,0,112,"360","1","0","1"
"248","LP001819","Male","1","1","0","No",6608,0,137,"180","1","0","1"
"249","LP001824","Male","1","1","1","No",2882,1843,123,"480","1","2","1"
"250","LP001825","Male","1","0","1","No",1809,1868,90,"360","1","0","1"
"251","LP001835","Male","1","0","0","No",1668,3890,201,"360","0","2","0"
"252","LP001836","Female","0","2","1","No",3427,0,138,"360","1","0","0"
"253","LP001841","Male","0","0","0","Yes",2583,2167,104,"360","1","1","1"
"254","LP001843","Male","1","1","0","No",2661,7101,279,"180","1","2","1"
"255","LP001844","Male","0","0","1","Yes",16250,0,192,"360","0","0","0"
"256","LP001846","Female","0","3+","1","No",3083,0,255,"360","1","1","1"
"257","LP001849","Male","0","0","0","No",6045,0,115,"360","0","1","0"
"258","LP001854","Male","1","3+","1","No",5250,0,94,"360","1","0","0"
"259","LP001859","Male","1","0","1","No",14683,2100,304,"360","1","1","0"
"260","LP001864","Male","1","3+","0","No",4931,0,128,"360",NA,"2","0"
"261","LP001865","Male","1","1","1","No",6083,4250,330,"360",NA,"0","1"
"262","LP001868","Male","0","0","1","No",2060,2209,134,"360","1","2","1"
"263","LP001870","Female","0","1","1","No",3481,0,155,"36","1","2","0"
"264","LP001871","Female","0","0","1","No",7200,0,120,"360","1","1","1"
"265","LP001872","Male","0","0","1","Yes",5166,0,128,"360","1","2","1"
"266","LP001875","Male","0","0","1","No",4095,3447,151,"360","1","1","1"
"267","LP001877","Male","1","2","1","No",4708,1387,150,"360","1","2","1"
"268","LP001882","Male","1","3+","1","No",4333,1811,160,"360","0","0","1"
"269","LP001883","Female","0","0","1","",3418,0,135,"360","1","1","0"
"270","LP001884","Female","0","1","1","No",2876,1560,90,"360","1","0","1"
"271","LP001888","Female","0","0","1","No",3237,0,30,"360","1","0","1"
"272","LP001891","Male","1","0","1","No",11146,0,136,"360","1","0","1"
"273","LP001892","Male","0","0","1","No",2833,1857,126,"360","1","1","1"
"274","LP001894","Male","1","0","1","No",2620,2223,150,"360","1","2","1"
"275","LP001896","Male","1","2","1","No",3900,0,90,"360","1","2","1"
"276","LP001900","Male","1","1","1","No",2750,1842,115,"360","1","2","1"
"277","LP001903","Male","1","0","1","No",3993,3274,207,"360","1","2","1"
"278","LP001904","Male","1","0","1","No",3103,1300,80,"360","1","0","1"
"279","LP001907","Male","1","0","1","No",14583,0,436,"360","1","2","1"
"280","LP001908","Female","1","0","0","No",4100,0,124,"360",NA,"1","1"
"281","LP001910","Male","0","1","0","Yes",4053,2426,158,"360","0","0","0"
"282","LP001914","Male","1","0","1","No",3927,800,112,"360","1","2","1"
"283","LP001915","Male","1","2","1","No",2301,985.7999878,78,"180","1","0","1"
"284","LP001917","Female","0","0","1","No",1811,1666,54,"360","1","0","1"
"285","LP001922","Male","1","0","1","No",20667,0,NA,"360","1","1","0"
"286","LP001924","Male","0","0","1","No",3158,3053,89,"360","1","1","1"
"287","LP001925","Female","0","0","1","Yes",2600,1717,99,"300","1","2","0"
"288","LP001926","Male","1","0","1","No",3704,2000,120,"360","1","1","1"
"289","LP001931","Female","0","0","1","No",4124,0,115,"360","1","2","1"
"290","LP001935","Male","0","0","1","No",9508,0,187,"360","1","1","1"
"291","LP001936","Male","1","0","1","No",3075,2416,139,"360","1","1","1"
"292","LP001938","Male","1","2","1","No",4400,0,127,"360","0","2","0"
"293","LP001940","Male","1","2","1","No",3153,1560,134,"360","1","0","1"
"294","LP001945","Female","0","","1","No",5417,0,143,"480","0","0","0"
"295","LP001947","Male","1","0","1","No",2383,3334,172,"360","1","2","1"
"296","LP001949","Male","1","3+","1","",4416,1250,110,"360","1","0","1"
"297","LP001953","Male","1","1","1","No",6875,0,200,"360","1","2","1"
"298","LP001954","Female","1","1","1","No",4666,0,135,"360","1","0","1"
"299","LP001955","Female","0","0","1","No",5000,2541,151,"480","1","1","0"
"300","LP001963","Male","1","1","1","No",2014,2925,113,"360","1","0","0"
"301","LP001964","Male","1","0","0","No",1800,2934,93,"360","0","0","0"
"302","LP001972","Male","1","","0","No",2875,1750,105,"360","1","2","1"
"303","LP001974","Female","0","0","1","No",5000,0,132,"360","1","1","1"
"304","LP001977","Male","1","1","1","No",1625,1803,96,"360","1","0","1"
"305","LP001978","Male","0","0","1","No",4000,2500,140,"360","1","1","1"
"306","LP001990","Male","0","0","0","No",2000,0,NA,"360","1","0","0"
